Post Link	Date	Time	Message	Reactions	Comment	Shares	Clicks	Impressions	Engagement Rate %	Click Through Rate	Post id	Post Type	New Followers from posts
"HaystackAnalytics
Sep 04, 08:46"	04-09-2025	08:46	"?? Hay5 – Celebrating 5 Years of HaystackAnalytics! ?? Five years ago, our founders – CEO Anirvan Chatterjee, COO Gaurav Srivastava & CSM Kiran Kondabagil – started HaystackAnalytics with a bold vision: to make genomics accessible, applicable, and affordable. Today, as we celebrate our 5th Foundation Day, we reflect on a journey built on science, innovation, and impact. From tackling infectious diseases with infexn™ NGS, FLU-NGS, FEVER-NGS, Opthal NGS, and ? TB to enabling proactive healthcare through human genomics with DGx Cardio Screening, DGx Pediatric Screening and PGx Comprehensive , we’ve strived to deliver first-line answers that empower clinicians, researchers, and patients alike. Over these five years, our mission has been clear: transforming healthcare through the power of Next-Generation Sequencing (NGS) – bringing actionable insights from genomics to real-world patient care. This milestone is not just ours – it belongs to our team, partners, and the scientific community who have trusted and supported us at every step. Here’s to continuing our journey of innovation, impact, and rewriting the future of healthcare with genomics. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI Akhil Bhalerao siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Gopal Singh Rijul Pulikkal Nilava Banerjee Ragina Nair Pradeesh Sonali Kedar Simone Jetha Amrutraj Zade Dr Mahua Das Gupta (Kapoor) #Hay5 #HaystackTurns5 #FoundationDay #Genomics #NGS #Innovation #InfectiousDiseases #AMR #ProactiveHealthcare #PublicHealth #Healthcare"	70	3	5	90	"1,945"	8.64	4.63	1	Static	0
"HaystackAnalytics
Sep 05, 06:22"	05-09-2025	06:22	"We’re thrilled to announce our participation at CIDSCON 2025! ?? Join us to experience infexn® — the advanced infection detection test powered by NGS technology. Designed to go beyond conventional diagnostics, infexn® helps clinicians detect the right pathogen faster and with higher accuracy. ?? 12th–14th September, 2025 ?? National Centre for Performing Arts (NCPA), Mumbai Stall No: PL3 Don’t miss the chance to explore how infexn® is redefining infectious disease diagnostics. ?? Mark your calendar and meet us at CIDSCON 2025! Abhimanyuu Nambisan Pranav Godse siddharth sasane Rohan S SALVI Shuja A. Dr Mahua Das Gupta (Kapoor) Simone Jetha Mayank Roy Akhil Bhalerao #PublicHealth #HealthCare #Diagnostics #Genomics #CIDSCON"	29	0	6	53	"1,557"	5.65	3.4	2	Static	0
"HaystackAnalytics
Sep 07, 04:30"	07-09-2025	04:30	"? Only 5 days left! We’re all set for CIDSCON 2025 where the spotlight is on redefining infectious disease diagnostics. Discover how infexn® NGS is enabling faster, precise, and reliable answers for infection detection — when it matters most. ?? Meet us at Stall No: PL3 ?? 12th–14th September, 2025 | NCPA, Mumbai Step into the next era of infectious disease diagnostics with us. #Healthcare #PublicHealth #Diagnostics #Genomics #InfectiousDiseases Abhimanyuu Nambisan Pranav Godse Dr Mahua Das Gupta (Kapoor) Simone Jethasiddharth sasane Shuja A. Rohan S SALVI"	12	0	0	16	898	3.12	1.78	3	Static	0
"HaystackAnalytics
Sep 09, 06:23"	09-09-2025	06:23	"The wait is almost over — CIDSCON 2025 is just 3 days away! We're excited to showcase infexn®–NGS, the first-choice diagnostic that’s transforming infectious disease management with genomics-driven precision. Why visit us? ? Experience how NGS enables faster, more accurate infection detection ? Learn how infexn® helps clinicians choose the right treatment, the first time ? Explore real-world applications in critical care and beyond ?? Stall PL3 | NCPA Mumbai | 12th – 14th September, 2025 Come be a part of the future of infectious disease diagnosis. ?? infexn® – Your go-to test for infection detection #PublicHealth #HealthCare #Diagnostics #Genomics Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI Dr Mahua Das Gupta (Kapoor) Simone Jetha Akhil Bhalerao Mayank Roy Simran Malik"	21	0	2	18	976	4.2	1.84	4	Static	0
"HaystackAnalytics
Sep 11, 10:41"	11-09-2025	10:41	"? Just 1 Day to Go for CIDSCON 2025! We are all set to showcase how infexn®-NGS is transforming the landscape of infectious disease diagnostics. With the power of Next-Generation Sequencing (NGS), infexn® goes beyond conventional methods to deliver faster, more accurate, and comprehensive pathogen detection — helping clinicians make confident treatment decisions. ?? Stall No. PL3 | Bhaba Atomic Auditorium Hall National Centre for Performing Arts (NCPA), Mumbai ?? 12th – 14th September, 2025 Join us at our stall and experience the future of infection detection. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI Pranali Dongre Prachi Singh, PhD Mayank Roy Akhil Bhalerao Simran Malik #CIDSCON2025 #infexnNGS #DiagnosticsInnovation #InfectiousDiseases #FutureOfHealthcare"	25	0	2	46	"1,334"	5.47	3.45	5	Static	0
"HaystackAnalyticsSep 13, 06:28"	13-09-2025	06:28	"When organs start shutting down, it isn’t just a complication — it’s Sepsis. A silent killer that can turn deadly within hours. Routine tests often fail to keep up with its speed. That’s where infexn™ NGS transforms the game — a single-test solution for infectious diseases with a rapid 24-hour turnaround time. Because in Sepsis, timely diagnosis isn’t just important… it is a necessity! #PublicHealth #HealthCare #Diagnostic #Genomics Abhimanyuu Nambisan Pranav Godse siddharth sasane Simran Malik Anirvan Chatterjee Gaurav Srivastava Rohan S SALVI Shuja A. Gitesh Srivastava Mohammad Umair Gopal Singh Akhil Bhalerao Dr Mahua Das Gupta (Kapoor) Simone Jetha"	44	2	5	105	"2,495"	6.25	4.21	6	Video	0
"HaystackAnalytics Sep 16, 08:24"	16-09-2025	08:24	"At KAR-PEDICRITICON 2025, we had the opportunity to present a comprehensive suite of NGS-based solutions designed to transform pediatric diagnostics. From detecting infections with Infexn NGS, FLU-NGS & FEVER-NGS to identifying inborn genetic errors with DGx Pediatrics, our portfolio reflects the future of precision medicine for children. A special thanks to the sales team and the technical from Bangalore - Dr. Shreya Shettar, Dr. R.D Ponmudi, Dr Koushik Koujalagi, Harisha AP, Namith N and Amit Kumar Gupta for their dedication and efforts in making this event a great success. Gitesh Srivastava #HealthCare #Diagnostic #Genomics #PublicHealth"	17	0	2	380	"1,236"	32.28	30.74	7	Carousel	0
"HaystackAnalytics
Sep 16, 13:56"	16-09-2025	13:56	"CIDSCON 2025 was an experience to remember — and for us, it was about showcasing how infexn™ NGS is changing the game in infection diagnostics. ?? Our stall turned into a hub of energy, buzzing with curiosity, conversations, and collaborations. Experts stopped by for coffee ? and deep discussions on genomics, while engaging activities like quizzes, case challenges, and thought walls ?? made diagnostics interactive and fun. A highlight was Dr. Mahua Das Gupta Kapoor’s session, “Reimagining Genomics in Diagnostics” — sparking fresh perspectives on the future of Genomic based diagnostics. ?? And of course, none of it would have been possible without our incredible HaystackAnalytics team, whose passion and dedication powered every moment. ?? Stay tuned for more stories, learnings, and breakthrough as we continue to advance diagnostics with infexn™ NGS Gaurav Srivastava Anirvan Chatterjee Dr Mahua Das Gupta (Kapoor) Abhimanyuu Nambisan Pranav Godse siddharth sasane Rohan S SALVI Shuja A. Gitesh Srivastava Mohammad Umair Prachi Singh, PhD Mayank Roy Akhil Bhalerao Simran Malik Simone Jetha Pranali Dongre Shruti Satpute Amrutraj Zade Dr. Nidhi G. Aneesh Nair Ph.D Shareek Ps #HealthCare #PublicHealth #Diagnostic #Genomics"	41	1	7	"1,082"	"2,066"	54.74	52.37	8	Carousel	0
"HaystackAnalytics
Sep 17, 08:02"	17-09-2025	08:02	"At CIDSCON 2025, we invited doctors to share their perspectives on NGS in diagnostics — and responses poured in. ??? From curiosity to conviction, doctors penned their views on whether NGS is truly redefining infection diagnostics. What emerged was a powerful collective voice from the medical community. Each response stood as a reminder that NGS isn’t just a technology — it’s a movement transforming how we detect and manage infectious diseases. Leading this transformation is infexn™ NGS, bringing precision, speed, and confidence to every diagnosis. Gaurav Srivastava Anirvan Chatterjee Dr Mahua Das Gupta (Kapoor) Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Simran Malik Mohammad Umair Gitesh Srivastava Dr. Nidhi G. Akhil Bhalerao Mayank Roy Shruti Satpute Pranali Dongre Simone Jetha #Genomics #Diagnostic #PublicHealth #Healthcare #Sepsis #InfectiousDiseases"	20	0	0	271	"1,296"	22.45	20.91	9	Carousel	0
"HaystackAnalytics
Sep 17, 11:49"	17-09-2025	11:49	"At CIDSCON 2025, we invited doctors to share their perspectives on NGS in diagnostics — and responses poured in. ??? From curiosity to conviction, doctors penned their views on whether NGS is truly redefining infection diagnostics. What emerged was a powerful collective voice from the medical community. Each response stood as a reminder that NGS isn’t just a technology — it’s a movement transforming how we detect and manage infectious diseases. Leading this transformation is infexn™ NGS, bringing precision, speed, and confidence to every diagnosis. Gaurav Srivastava Anirvan Chatterjee Dr Mahua Das Gupta (Kapoor) Abhimanyuu Nambisan Pranav Godse siddharth sasane Simran Malik Shuja A. Rohan S SALVI Mohammad Umair Gitesh Srivastava Dr. Nidhi G. Akhil Bhalerao Mayank Roy Pranali Dongre Shruti Satpute #Genomics #Diagnostic #PublicHealth #NGS #Healthcare #CIDSCON2025"	21	0	0	573	"1,679"	35.38	34.13	10	Carousel	0
